Code,Longitude,Latitude,Province,District,PGA_NS,PGA_EW,PGA_UD,Rjb,Rrup,Repi,Rhyp
"1657",29.716899,40.442714,"Bursa","İznik",31.5318272362,42.5131122666,16.5419461095,128.5151500956424,128.54427094222743,132.60081058,132.781253821
"4139",29.81932,40.69821,"Kocaeli","Gölcük",12.3778116827,10.7843837598,7.17467491044,131.80595930278056,131.83435324561475,133.818556107,133.99735952
"4112",29.84,40.7245,"Kocaeli","Gölcük",33.0823477427,43.808073967,13.5667576091,133.36917870137523,133.39723990938734,135.160818184,135.337848262
"1641",29.652452,40.27685,"Bursa","Yenişehir",10.4143145595,12.3502947429,5.12954703984,130.1308283313226,130.15958769971357,135.456393373,135.633037663
"2203",26.6319,40.8681,"Edirne","Keşan",4.45852540687,5.88149045992,3.38864035537,134.63883366669947,135.09594358787942,135.603973847,135.780426141
"4142",29.85205,40.76225,"Kocaeli","Derince",13.5188630895,9.7001298345,6.72880054081,134.2395406500952,134.26741995700908,135.730256547,135.906544884
"4123",29.84794,40.71515,"Kocaeli","Gölcük",41.3122287482,50.4041915486,15.149133694,134.09564671673485,134.12355593385766,135.953743622,136.129742543
"1021",27.576193,39.747355,"Balıkesir","Balya",6.23414864451,8.55646563175,3.90183951287,127.42530279183579,127.90735476483175,136.079494031,136.255330522
"1719",27.049958,40.029342,"Çanakkale","Çan",29.8972516851,26.0761150312,11.2825356019,130.94879281317807,131.4187383214394,136.922802442,137.097557339
"1017",27.85715,39.65966,"Balıkesir","Karesi",10.2222124302,8.79346468122,4.20306090933,128.05556045400706,128.4714744703165,137.457589533,137.631665398
"1003",27.86204,39.65499,"Balıkesir","Karesi",6.21019281375,9.11478799831,2.96422346014,128.45007591128362,128.86287080026702,137.863886441,138.037449935
"1610",29.50882,40.06708,"Bursa","İnegöl",15.3725914898,19.29281387,6.70801507942,131.7836993261816,131.81209806408788,138.616635611,138.789257755
"2204",26.6899,41.2932,"Edirne","Uzunköprü",8.11935549869,9.59878626852,3.25998207583,134.72057846592892,135.17741196281588,138.920884417,139.093128972
"4127",29.90473,40.76087,"Kocaeli","İzmit",13.7249486447,15.4017109929,12.9633821396,138.68988263178835,138.7168675121469,140.163248699,140.333968396
"4126",29.91485,40.76252,"Kocaeli","İzmit",35.89666833,31.6662067802,15.7872973184,139.54060720336787,139.567427599164,140.996331136,141.166043346
"4135",29.91665,40.71223,"Kocaeli","Başiskele",30.9208422426,32.1026035225,15.8965851252,139.91054224084095,139.93729173486753,141.739428642,141.908252162
"1715",26.69225,40.36316,"Çanakkale","Lapseki",13.3985764778,14.8551682145,5.75217186424,139.28292580483688,139.72484340132942,142.192431504,142.360717816
"4107",29.93244,40.76021,"Kocaeli","İzmit",25.5256477883,29.374366459,8.70803480322,141.03070027716342,141.05723734934833,142.494531864,142.662461815
"2206",26.80923,41.55047,"Edirne","Havsa",7.50536561103,5.05328093636,1.59050080431,136.49814880313735,136.94905282423008,142.512504381,142.680413179
"4144",29.954044,40.782277,"Kocaeli","İzmit",8.34149536658,12.3925102587,5.74391418054,142.82439789241405,142.8506017533489,144.115440062,144.281483443
"4136",29.95696,41.03719,"Kocaeli","Kandıra",21.4975666196,18.1483514098,7.55774011389,144.62038937133877,144.6462678740137,145.167278076,145.332119726
"4141",29.97164,40.77089,"Kocaeli","İzmit",18.6974243701,27.5217526078,16.0551855836,144.3201379674567,144.34607029950288,145.686463604,145.850718468
"1009",28.63232,39.57798,"Balıkesir","Dursunbey",4.52998935878,4.49145969597,2.53697634266,136.5658633440898,136.59326783879172,146.308405024,146.471962438
"1725",26.654158,40.323185,"Çanakkale","Lapseki",10.9083167433,13.6916806105,5.02263209252,143.85515620421117,144.28307041821756,146.946190087,147.109038407
"4103",30.02504,40.78577,"Kocaeli","İzmit",17.2995035755,16.9879213746,6.05068676623,148.81603570910988,148.84118473103587,150.053131504,150.212611569
"2208",26.90622,41.764833,"Edirne","Süloğlu",8.98044115067,7.54792071661,2.54902010612,143.15307695653496,143.58308356103078,150.380204709,150.539338275
"4120",30.02737,40.76761,"Kocaeli","İzmit",0.218827873477,0.357476636917,0.244901054885,149.02993967960973,149.05505261101146,150.393802812,150.552922005
